case,role,altitude_km,inside_R,outside_inner_R,outside_outer_R,radius_scale,inside_nT,outside_nT,ratio,matched_ratio,common_support_fraction
Newton,Primary crater case,150,1.0,1.2,1.8,1.0,140.25338357907876,169.89193377163238,0.8255446887055063,1.2349657276163906,1.0
Newton,Primary crater case,150,1.0,1.2,1.8,1.1,143.2265560406221,173.80409239895815,0.8240689506427333,1.1141566037925363,0.9999999999999999
Newton,Primary crater case,150,1.0,1.2,2.0,0.9,137.300568987587,168.00920737770716,0.8172205031532408,1.3784059621653002,0.9999999999999998
Newton,Primary crater case,150,1.0,1.2,2.0,1.0,140.25338357907876,173.49973498781608,0.8083780853551619,1.1791872111963098,1.0
Newton,Primary crater case,150,1.0,1.2,2.0,1.1,143.2265560406221,178.19967185313067,0.8037419741079387,1.0734684086425967,0.9999999999999999
Newton,Primary crater case,150,1.0,1.5,2.5,0.9,137.300568987587,180.72515718705458,0.7597202908805765,1.2471173803008808,0.9999999999999998
Newton,Primary crater case,150,1.0,1.5,2.5,1.0,140.25338357907876,188.3251436627048,0.7447406164217573,1.026950542774983,1.0
Newton,Primary crater case,150,1.0,1.5,2.5,1.1,143.2265560406221,194.81587815930266,0.7351893356634129,0.8810845635393005,0.9999999999999999
Newton,Primary crater case,400,0.6,1.2,1.8,0.9,24.364412681113837,28.12725973547943,0.8662206311687314,0.9054266065953155,1.0
Newton,Primary crater case,400,0.6,1.2,1.8,1.0,24.312519257420835,29.280003472451796,0.8303455045794432,0.8549087179803857,1.0
Newton,Primary crater case,400,0.6,1.2,1.8,1.1,24.282481369935677,30.69376789868387,0.7911209027868128,0.7976428064396736,1.0
Newton,Primary crater case,400,0.6,1.2,2.0,0.9,24.364412681113837,28.92280828561721,0.84239443281273,0.8567334626664986,1.0
Newton,Primary crater case,400,0.6,1.2,2.0,1.0,24.312519257420835,30.3730976153042,0.8004622895351444,0.8058900156179378,1.0
Newton,Primary crater case,400,0.6,1.2,2.0,1.1,24.282481369935677,31.902299845695374,0.7611514369617509,0.7542390323099368,1.0
Newton,Primary crater case,400,0.6,1.5,2.5,0.9,24.364412681113837,32.18875326063719,0.7569231552347341,0.7537734201013665,1.0
Newton,Primary crater case,400,0.6,1.5,2.5,1.0,24.312519257420835,34.31202469212381,0.7085713966334862,0.6611332584480847,1.0
Newton,Primary crater case,400,0.6,1.5,2.5,1.1,24.282481369935677,36.50312242043369,0.665216555730664,0.593275462078044,1.0
Newton,Primary crater case,400,0.8,1.2,1.8,0.9,24.491543904696908,28.12725973547943,0.870740489298484,0.9101510378331084,1.0
Newton,Primary crater case,400,0.8,1.2,1.8,1.0,24.630264558318324,29.280003472451796,0.8411974602903242,0.8672055020321429,1.0
Newton,Primary crater case,400,0.8,1.2,1.8,1.1,24.698235401078477,30.69376789868387,0.8046661290527816,0.8133564842214364,1.0
